,,,,,Delaware,PA,8.32,
,,,,,Bucks,PA,8.16,
,,,,,Chester,PA,5.05,
,,,,,Camden,NJ,4.95,
,,,,,Burlington,NJ,4.32,
,,,,,Gloucester,NJ,3.47,
,,,,,New Castle,DE,2.71,
,,,,,Berks,PA,1.65,
,,,,,New York,NY,1.36,
,,,,,Atlantic,NJ,1.34,
,,,,,Ocean,NJ,1.13,
,,,,,Lancaster,PA,1.05,
Pittsburgh,,Allegheny,PA,28.78,Washington,PA,5.62,
,,,,,Westmoreland,PA,4.39,
,,,,,Butler,PA,3.6,
,,,,,Beaver,PA,2.34,
,,,,,Fayette,PA,1.57,
,,,,,Mahoning,OH,1.06,
San Francisco,Closed to fans,"First home game, no fans: 9/13/2020",,,,,,See LA
Seattle,Closed to fans,"First home game, no fans: 9/20/2020",,,,,,"April 19, 2020: Washington removed 190 confirmed cases that were found to be residents who were out of state.
Nov. 22, 2020: Washington did not release new data because of technical problems.
Dec. 17, 2020: Washington began reporting probable cases, resulting in a one-day increase.
Jan. 3, 2021: Washington announced many cases from the previous two days. The state did not report on Jan. 1 for New Year's Day and was unable to announce new data on Jan. 2 because of a technical issue."
Tampa Bay,10/4/2020,Hillsborough,FL,28.69,Pasco,FL,5.7,See Jacksonville
,,Pinellas,FL,13.07,Orange,FL,3.38,
,,,,,Manatee,FL,2.96,
,,,,,Polk,FL,2.54,
,,,,,Sarasota,FL,2.44,
,,,,,Lee,FL,1.35,
,,,,,Hernando,FL,1.19,
,,,,,Seminole,FL,1.18,
Tennessee,,Davidson,TN,23.6,Rutherford,TN,6.25,"June 29, 2020: Tennessee added data for June 28 and June 29 after resolving a technical issue.

Dec. 20, 2020: Tennessee announced cases from both Dec. 19 and Dec. 20.

Jan. 2, 2021: Tennessee reported data for two days after reporting no data on New Year's Day."
,,Williamson,TN,12.29,Sumner,TN,5.24,
,,,,,Wilson,TN,3.78,
,,,,,Montgomery,TN,2.25,
,,,,,Maury,TN,1.91,
,,,,,Robertson,TN,1.62,
,,,,,Shelby,TN,1.25,
,,,,,Warren,KY,1.23,
,,,,,Knox,TN,1.17,
,,,,,Cook,IL,1.01,
,,,,,Cheatham,TN,1.01,
Washington,Closed to fans,"First home game, no fans: 9/13/2020",,,,,,None
