,Team,First date home stadium open to fans,County(s),State,% fans,Counties,State.1,% fans.1,Unnamed: 8,Stadium_Counties,Donor_Counties
10,Atlanta,,,,,fayette,GA,1.01,,"[nan, 'fulton']","['houston', 'meriwether', 'schley', 'muscogee', 'lumpkin', 'mcduffie', 'liberty', 'paulding', 'lee', 'washington', 'toombs', 'walker', 'walton', 'wilkinson', 'hancock', 'crawford', 'greene', 'wheeler', 'white', 'gordon', 'upson', 'rockdale', 'clarke', 'barrow', 'warren', 'banks', 'lowndes', 'habersham', 'treutlen', 'echols', 'charlton', 'turner', 'rabun', 'long', 'montgomery', 'jones', 'seminole', 'wayne', 'stewart', 'talbot', 'glynn', 'baldwin', 'decatur', 'troup', 'catoosa', 'macon', 'appling', 'towns', 'polk', 'grady', 'monroe', 'atkinson', 'taylor', 'pike', 'murray', 'union', 'bacon', 'chattahoochee', 'johnson', 'miller', 'morgan', 'jeff davis', 'bleckley', 'brantley', 'evans', 'irwin', 'bryan', 'wilcox', 'oconee', 'dodge', 'bulloch', 'telfair', 'richmond', 'worth', 'pierce', 'marion', 'cook', 'effingham', 'dougherty', 'franklin', 'thomas', 'whitfield', 'sumter', 'dooly', 'mitchell', 'berrien', 'putnam', 'pickens', 'laurens', 'clinch', 'jenkins', 'elbert', 'wilkes', 'harris', 'floyd', 'haralson', 'mcintosh', 'chattooga', 'spalding', 'lincoln', 'gilmer', 'terrell', 'oglethorpe', 'coffee', 'carroll', 'brooks', 'coweta', 'hart', 'jefferson', 'jackson', 'dade', 'chatham', 'crisp', 'early', 'screven', 'columbia', 'peach', 'bartow', 'newton', 'heard', 'ware', 'stephens', 'tattnall', 'tift', 'burke', 'ben hill', 'lanier', 'jasper', 'madison', 'fannin', 'pulaski', 'randolph', 'emanuel', 'colquitt', 'butts', 'twiggs', 'calhoun', 'bibb', 'candler', 'lamar', 'dawson']"
11,Baltimore,11/1/2020,baltimore,MD,27.56,anne arundel,MD,9.4,None,"[nan, 'baltimore', 'baltimore city']","[""st. mary's"", 'washington', 'calvert', 'kent', 'cecil', 'wicomico', 'worcester', ""queen anne's"", 'dorchester', 'allegany', ""prince george's"", 'garrett', 'charles', 'talbot', 'somerset', 'caroline']"
12,Baltimore,,baltimore city,MD,11.84,howard,MD,8.07,,"[nan, 'baltimore', 'baltimore city']","[""st. mary's"", 'washington', 'calvert', 'kent', 'cecil', 'wicomico', 'worcester', ""queen anne's"", 'dorchester', 'allegany', ""prince george's"", 'garrett', 'charles', 'talbot', 'somerset', 'caroline']"
13,Baltimore,,,,,harford,MD,5.05,,"[nan, 'baltimore', 'baltimore city']","[""st. mary's"", 'washington', 'calvert', 'kent', 'cecil', 'wicomico', 'worcester', ""queen anne's"", 'dorchester', 'allegany', ""prince george's"", 'garrett', 'charles', 'talbot', 'somerset', 'caroline']"
14,Baltimore,,,,,carroll,MD,4.49,,"[nan, 'baltimore', 'baltimore city']","[""st. mary's"", 'washington', 'calvert', 'kent', 'cecil', 'wicomico', 'worcester', ""queen anne's"", 'dorchester', 'allegany', ""prince george's"", 'garrett', 'charles', 'talbot', 'somerset', 'caroline']"
15,Baltimore,,,,,york,PA,2.4,,"[nan, 'baltimore', 'baltimore city']","[""st. mary's"", 'washington', 'calvert', 'kent', 'cecil', 'wicomico', 'worcester', ""queen anne's"", 'dorchester', 'allegany', ""prince george's"", 'garrett', 'charles', 'talbot', 'somerset', 'caroline']"
16,Baltimore,,,,,montgomery,MD,2.24,,"[nan, 'baltimore', 'baltimore city']","[""st. mary's"", 'washington', 'calvert', 'kent', 'cecil', 'wicomico', 'worcester', ""queen anne's"", 'dorchester', 'allegany', ""prince george's"", 'garrett', 'charles', 'talbot', 'somerset', 'caroline']"
17,Baltimore,,,,,frederick,MD,1.95,,"[nan, 'baltimore', 'baltimore city']","[""st. mary's"", 'washington', 'calvert', 'kent', 'cecil', 'wicomico', 'worcester', ""queen anne's"", 'dorchester', 'allegany', ""prince george's"", 'garrett', 'charles', 'talbot', 'somerset', 'caroline']"
18,Baltimore,,,,,fairfax,VA,1.03,,"[nan, 'baltimore', 'baltimore city']","[""st. mary's"", 'washington', 'calvert', 'kent', 'cecil', 'wicomico', 'worcester', ""queen anne's"", 'dorchester', 'allegany', ""prince george's"", 'garrett', 'charles', 'talbot', 'somerset', 'caroline']"
19,Buffalo,Post season fans,erie,NY,61.17,monroe,NY,6.31,None,[],"['yates', 'orange', 'fulton', 'montgomery', 'lewis', 'suffolk', 'oneida', 'wayne', 'jefferson', 'seneca', 'cortland', 'washington', 'delaware', 'franklin', 'columbia', 'rensselaer', 'tioga', 'otsego', 'chenango', 'dutchess', 'albany', 'nassau', 'allegany', 'putnam', 'wyoming', 'new york city', 'oswego', 'herkimer', 'tompkins', 'schuyler', 'westchester', 'sullivan', 'schenectady', 'greene', 'st. lawrence', 'cayuga', 'madison', 'orleans', 'clinton', 'rockland', 'broome', 'livingston', 'chemung', 'warren', 'essex', 'schoharie', 'steuben', 'ulster', 'cattaraugus', 'onondaga', 'saratoga']"
20,Buffalo,First home,,,,niagara,NY,5.87,,[],"['yates', 'orange', 'fulton', 'montgomery', 'lewis', 'suffolk', 'oneida', 'wayne', 'jefferson', 'seneca', 'cortland', 'washington', 'delaware', 'franklin', 'columbia', 'rensselaer', 'tioga', 'otsego', 'chenango', 'dutchess', 'albany', 'nassau', 'allegany', 'putnam', 'wyoming', 'new york city', 'oswego', 'herkimer', 'tompkins', 'schuyler', 'westchester', 'sullivan', 'schenectady', 'greene', 'st. lawrence', 'cayuga', 'madison', 'orleans', 'clinton', 'rockland', 'broome', 'livingston', 'chemung', 'warren', 'essex', 'schoharie', 'steuben', 'ulster', 'cattaraugus', 'onondaga', 'saratoga']"
21,Buffalo,game no fans:,,,,chautauqua,NY,1.95,,[],"['yates', 'orange', 'fulton', 'montgomery', 'lewis', 'suffolk', 'oneida', 'wayne', 'jefferson', 'seneca', 'cortland', 'washington', 'delaware', 'franklin', 'columbia', 'rensselaer', 'tioga', 'otsego', 'chenango', 'dutchess', 'albany', 'nassau', 'allegany', 'putnam', 'wyoming', 'new york city', 'oswego', 'herkimer', 'tompkins', 'schuyler', 'westchester', 'sullivan', 'schenectady', 'greene', 'st. lawrence', 'cayuga', 'madison', 'orleans', 'clinton', 'rockland', 'broome', 'livingston', 'chemung', 'warren', 'essex', 'schoharie', 'steuben', 'ulster', 'cattaraugus', 'onondaga', 'saratoga']"
22,Buffalo,9/13/2020,,,,genesee,NY,1.22,,[],"['yates', 'orange', 'fulton', 'montgomery', 'lewis', 'suffolk', 'oneida', 'wayne', 'jefferson', 'seneca', 'cortland', 'washington', 'delaware', 'franklin', 'columbia', 'rensselaer', 'tioga', 'otsego', 'chenango', 'dutchess', 'albany', 'nassau', 'allegany', 'putnam', 'wyoming', 'new york city', 'oswego', 'herkimer', 'tompkins', 'schuyler', 'westchester', 'sullivan', 'schenectady', 'greene', 'st. lawrence', 'cayuga', 'madison', 'orleans', 'clinton', 'rockland', 'broome', 'livingston', 'chemung', 'warren', 'essex', 'schoharie', 'steuben', 'ulster', 'cattaraugus', 'onondaga', 'saratoga']"
23,Buffalo,,,,,ontario,NY,1.19,,[],"['yates', 'orange', 'fulton', 'montgomery', 'lewis', 'suffolk', 'oneida', 'wayne', 'jefferson', 'seneca', 'cortland', 'washington', 'delaware', 'franklin', 'columbia', 'rensselaer', 'tioga', 'otsego', 'chenango', 'dutchess', 'albany', 'nassau', 'allegany', 'putnam', 'wyoming', 'new york city', 'oswego', 'herkimer', 'tompkins', 'schuyler', 'westchester', 'sullivan', 'schenectady', 'greene', 'st. lawrence', 'cayuga', 'madison', 'orleans', 'clinton', 'rockland', 'broome', 'livingston', 'chemung', 'warren', 'essex', 'schoharie', 'steuben', 'ulster', 'cattaraugus', 'onondaga', 'saratoga']"
24,Carolina,10/4/2020,mecklenburg,NC,31.06,york,SC,3.89,"Aug. 29, 2020: North Carolina added about 1,000 cases from earlier in the month that a lab failed to report at the time.

Sept. 25, 2020: North Carolina began reporting probable cases identified through antigen testing.

Thanksgiving, Christmas and New Years: Reported after the holidays.
",[nan],"['henderson', 'robeson', 'surry', 'avery', 'brunswick', 'davie', 'bladen', 'stokes', 'lee', 'chowan', 'washington', 'hoke', 'buncombe', 'alamance', 'scotland', 'edgecombe', 'pamlico', 'greene', 'duplin', 'durham', 'granville', 'transylvania', 'anson', 'northampton', 'warren', 'perquimans', 'davidson', 'rockingham', 'nash', 'clay', 'cumberland', 'caldwell', 'montgomery', 'wilson', 'jones', 'wayne', 'dare', 'carteret', 'onslow', 'hyde', 'macon', 'ashe', 'polk', 'craven', 'lenoir', 'beaufort', 'yancey', 'martin', 'bertie', 'orange', 'watauga', 'richmond', 'mcdowell', 'franklin', 'cleveland', 'mitchell', 'yadkin', 'columbus', 'pasquotank', 'wilkes', 'currituck', 'camden', 'cherokee', 'stanly', 'pender', 'swain', 'vance', 'lincoln', 'graham', 'moore', 'harnett', 'hertford', 'sampson', 'gates', 'rutherford', 'jackson', 'chatham', 'new hanover', 'pitt', 'halifax', 'burke', 'madison', 'person', 'randolph', 'rowan', 'johnston', 'haywood', 'caswell', 'alexander', 'alleghany']"
25,Carolina,,,,,union,NC,3.88,,[nan],"['henderson', 'robeson', 'surry', 'avery', 'brunswick', 'davie', 'bladen', 'stokes', 'lee', 'chowan', 'washington', 'hoke', 'buncombe', 'alamance', 'scotland', 'edgecombe', 'pamlico', 'greene', 'duplin', 'durham', 'granville', 'transylvania', 'anson', 'northampton', 'warren', 'perquimans', 'davidson', 'rockingham', 'nash', 'clay', 'cumberland', 'caldwell', 'montgomery', 'wilson', 'jones', 'wayne', 'dare', 'carteret', 'onslow', 'hyde', 'macon', 'ashe', 'polk', 'craven', 'lenoir', 'beaufort', 'yancey', 'martin', 'bertie', 'orange', 'watauga', 'richmond', 'mcdowell', 'franklin', 'cleveland', 'mitchell', 'yadkin', 'columbus', 'pasquotank', 'wilkes', 'currituck', 'camden', 'cherokee', 'stanly', 'pender', 'swain', 'vance', 'lincoln', 'graham', 'moore', 'harnett', 'hertford', 'sampson', 'gates', 'rutherford', 'jackson', 'chatham', 'new hanover', 'pitt', 'halifax', 'burke', 'madison', 'person', 'randolph', 'rowan', 'johnston', 'haywood', 'caswell', 'alexander', 'alleghany']"
